,School ID,Private School Name,Private Low Grade,Private High Grade,Private Address,City,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9
16,K9306152,ST AIDANS EPISCOPAL DAY SCHOOL,2,4,8531 RIVERSIDE RD,ALEXANDRIA,51059,59,VA,51,22308,7033604160,150,3.0,Yes,96.0,30.0,,,,,,,,,
17,1432197,ST LOUIS CATHOLIC SCHOOL,2,13,2901 POPKINS LN,ALEXANDRIA,51059,59,VA,51,22306,7037687732,180,7.17,Yes,48.0,50.0,52.0,51.0,53.0,54.0,49.0,50.0,54.0,49.0,
18,A1303607,ST LUKE'S DAY SCHOOL,2,4,8009 FORT HUNT RD,ALEXANDRIA,51059,59,VA,51,22308,7037656699,156,4.0,Yes,40.0,22.0,,,,,,,,,
19,1432335,ST MARY'S ELEMENTARY SCHOOL,2,13,400 GREEN ST,ALEXANDRIA,51510,510,VA,51,22314,7035491646,183,7.25,Yes,18.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,
20,1432288,ST RITA SCHOOL,2,13,3801 RUSSELL RD,ALEXANDRIA,51510,510,VA,51,22305,7035481888,183,7.0,Yes,40.0,23.0,23.0,23.0,20.0,23.0,25.0,23.0,25.0,21.0,
21,A1371703,ST STEPHENS ST AGNES DAYSCHOOL,2,17,400 FONTAINE ST,ALEXANDRIA,51510,510,VA,51,22302,7032122730,170,7.0,Yes,14.0,47.0,48.0,71.0,59.0,63.0,68.0,92.0,108.0,102.0,106.0
22,A0508318,TAUXEMONT COOPERATIVE PRESCHOOL,2,3,7719 FORT HUNT RD,ALEXANDRIA,51059,59,VA,51,22308,7037659266,157,3.5,Yes,64.0,5.0,,,,,,,,,
23,1434671,THE AQUINAS MONTESSORI SCHOOL,2,11,8334 MOUNT VERNON HWY,ALEXANDRIA,51059,59,VA,51,22309,7037808484,169,6.75,Yes,58.0,32.0,13.0,8.0,8.0,14.0,8.0,3.0,,,
24,A1371713,THE DEL RAY MONTESSORI SCHOOL,2,8,100 E WINDSOR AVE RM 204,ALEXANDRIA,51510,510,VA,51,22301,7033801241,196,7.0,No,32.0,10.0,6.0,7.0,7.0,,,,,,
25,A0903718,THE HOWARD GARDNER SCHOOL,11,17,4913 FRANCONIA RD,ALEXANDRIA,51059,59,VA,51,22310,7038229300,186,6.67,No,,,,,,,,5.0,3.0,4.0,9.0
